Name,Begin,End
Jane Austen,1775,1817
Charlotte Brontë,1816,1855
Emily Brontë,1818,1848
Charles Dickens,1812,1870
William Shakespeare,1564,1616
Mary Shelley,1797,1851
Arthur Conan Doyle,1859,1930
Lewis Carol,1832,1898
Oscar Wilde,1854,1900
J.R.R. Tolkien,1892,1973
Virginia Woolf,1882,1941
Victor Hugo,1802,1885
Gustave Flaubert,1821,1880
Honoré de Balzac,1799,1850
Marcel Proust,1871,1922
Émile Zola,1840,1902
Simone de Beauvoir,1908,1986
Michel Foucault,1926,1984
Simone Weil,1909,1943
Albert Camus,1913,1960
